,land,logged_in,root_shell,is_host_login,is_guest_login,duration,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,num_compromised,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,count,srv_count,dst_host_count,dst_host_srv_count,success_pred,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,protocol_type_tcp,protocol_type_udp,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_type_buffer_overflow,attack_type_ftp_write,attack_type_guess_passwd,attack_type_imap,attack_type_ipsweep,attack_type_land,attack_type_loadmodule,attack_type_multihop,attack_type_neptune,attack_type_nmap,attack_type_normal,attack_type_perl,attack_type_phf,attack_type_pod,attack_type_portsweep,attack_type_rootkit,attack_type_satan,attack_type_smurf,attack_type_spy,attack_type_teardrop,attack_type_warezclient,attack_type_warezmaster
hot,,0.1689375771357833,,,,0.021273730544937943,0.37997283514445246,0.12700231675303644,,,1.0,,0.42363002353539525,,,,,,,-0.10053883539439912,-0.04988221601697164,-0.043160700193383784,-0.03905719164213347,-0.24228818430869153,-0.08228475179327904,-0.08235399810985636,-0.03547581149678457,-0.02868004657302475,0.10362389534203154,-0.030139442403965926,-0.017069830819740187,0.013809923684554092,-0.02885186170618402,-0.0386975224233656,-0.034278471789949104,-0.08573252873759998,-0.08529454978148215,-0.03599339869999863,-0.03702259378423581,0.06702042683139613,-0.05173235708723444,-0.00245157737187363,-0.011682781159983856,-0.0005608155742178846,-0.012301434789652958,-0.010596394692231512,-0.010775032549243928,-0.00927772208157612,-0.009430364296182341,-0.009070274348716451,-0.00921769061310316,-0.009144227461961781,-0.039141155907145946,-0.008275531359116326,-0.02735717776694839,-0.022270769890136464,-0.00875004178337953,-0.008649866298548784,-0.01486895775624713,0.6632007507328826,-0.021348003901677227,-0.008691429673778513,-0.0005608155742178855,-0.008520692983943303,0.01366281202639974,-0.00039655492153470756,-0.009148609180243787,-0.0005608155742178871,-0.008850229022488332,-0.010422393188665304,-0.008265958916717686,-0.006865200595387545,-0.008042692103536147,-0.00865902032117858,-0.008227559309203675,-0.008323230708716683,-0.008436624156296398,-0.007993341716254288,-0.0073971653709950175,-0.00755580611351032,-0.007534844826434551,-0.0099783926312313,-0.006830591436598266,-0.005143349616177164,-0.02516522553491708,-0.0008867378398077941,-0.0035033491067436727,-0.005956604824036073,-0.003294921997781235,-0.06448056133575715,-0.0011216578610414917,-0.0035033491067436454,-0.0036787403850332156,-0.0031979404478499696,-0.030599099615469624,-0.006213086428840854,-0.0065472792397698295,-0.006930357987447266,-0.009269169551831883,-0.008677299832179854,0.015412687198790053,-0.0006868587245826207,-0.0011216578610414906,-0.008597851360167585,-0.001254061568067431,-0.009753041160570046,-0.011109579841946741,-0.010437636352124649,-0.009874392260014422,-0.01046805754457282,-0.04403832711720743,-7.094896945748044e-05,-0.00402622325237251,0.006099673858631514,-0.08669044001805713,0.005006132641458323,0.06875866122958259,0.005233322552979219,0.09807474048024747,-0.005561152592914111,0.08263885089086534,0.010203975813933026,0.05872584306413338,0.008343371777647457,-0.02413718959485639,-0.0016825535794387906,0.020166201888258326,0.026192807469083538,-0.09814537250444005,-0.015414181571310257,-0.006637093796533231,-0.0006868587245826273,0.031240101603049988,-0.0056266046606338925,-0.02052572011564325,0.003810955998914361,-0.0227712799423102,-0.020616084839244708,-0.0005608155742178899,-0.011885764231559083,0.2701769407667339,0.003598894383104909
num_failed_logins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_compromised,,0.12549338840208604,,,,0.062081158476295056,0.6033630376926089,0.2373628112344475,,,0.42363002353539525,,1.0,,,,,,,-0.07176251135460154,-0.0348375737661406,-0.037133084632438106,-0.004395614786449127,-0.2787551397821041,-0.06037760175555668,-0.060295574276440674,-0.020826710308809088,-0.008850473069134375,0.07667836088674165,-0.030725795813697755,-0.004730940643407047,0.05949975538240611,-0.027770668708958335,-0.0341792066502614,-0.016598403566321723,-0.046812181994241295,-0.05079568832362613,-0.022846633502130467,-0.02050023375977564,0.048358935161487294,-0.03732774946996571,-0.0024454481631025283,-0.008429771091174975,-0.000404659374363323,0.0011388401557958423,-0.0076458833238451426,-0.007774780392292326,-0.006694388290273814,-0.006804528068667076,-0.006544703307096872,-0.006651072274115785,-0.006840854208550434,-0.02824250322101282,-0.005971252397856952,-0.019739712926050278,-0.01606958904966245,-0.006313637845477478,-0.006241355706960458,-0.012113144087932785,-0.012067871483844398,-0.023676026632593314,-0.006525755361581277,-0.000404659374363324,-0.006148150034586664,0.08551333129339254,-0.0002861362519625511,-0.006601226209409211,-0.0004046593743633248,-0.005087402147651587,-0.007520331640175119,-0.005964345352599514,-0.004953620950492479,-0.0058032460303061,-0.006247960839272293,-0.004581074709631718,-0.00600567010994298,-0.006087489737756462,-0.0057676370034526695,-0.005337462882095267,-0.005451930929285693,-0.0054368062043245935,-0.007199960744558193,-0.004928648533201163,-0.003711210482548816,-0.019227000799080407,-0.0006398302685893141,-0.002527859643855731,-0.0029271482092572553,-0.0023774679867932347,-0.04652628209391559,-0.0008093380233452641,-0.002527859643855757,-0.002654414126655885,-0.0023074904485005754,-0.022172488600453018,-0.004483084605248808,-0.005052288093809012,-0.00559359986311652,-0.006688217168260293,-0.006261150514854632,0.18606024350637726,-0.0004956064605609722,-0.0008093380233452631,-0.007336523452601728,-0.0009048746020560654,-0.00703735722689218,-0.008016174719382698,-0.007531330423505034,-0.007124918739512304,-0.007553280992050801,-0.03177608240304185,-0.009238536677743716,-0.0029051421844412937,0.01166814895200566,-0.06280668865048152,0.019502457410901706,-0.0007377790818246371,0.002001586917529109,0.07302158806546205,-0.004715453298518172,0.09055626304688495,0.009100726013870313,-0.002083533433014289,0.007502387392010495,-0.01694227829351084,-0.001214055226155205,0.01782823411377727,0.020431460678189826,-0.0708173004818718,-0.011122182331807945,-0.04994627382271542,-0.0004956064605609806,-0.0005722793183289922,-0.004059905656038775,-0.01567440682939174,0.02568682872099396,-0.01608518522775156,-0.014875642504230062,-0.00040465937436332694,-0.008576234574940465,-0.008566546079066406,-0.0012797367336035096
su_attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_file_creations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_access_files,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_outbound_cmds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,,-0.5397545764343965,,,,-0.09924305641780355,-0.10526978623282272,-0.23721115199057802,,,-0.10053883539439912,,-0.07176251135460154,,,,,,,1.0,0.4694915448483257,0.4680918147414914,-0.3959721233635861,-0.048014496207961374,0.45755540951338186,0.4520913477883127,0.16105608702719043,0.162991596608907,-0.6280258198260343,0.22263527565563201,-0.263060513062029,-0.4739573742095068,0.1674555872470156,-0.13822841055291796,-0.22777264666237992,0.4590463308180707,0.4608085374450875,0.17832560578253245,0.16770859115493328,-0.04854885122096841,-0.008852878085464904,-0.014379768495325919,0.09353401809150749,0.014854633807404493,0.06495259199179065,0.08849436776875608,0.022454213145439644,0.07160169260314284,0.07363837911357314,0.07477710050842629,0.07468101208930855,0.07504595787768314,0.06290460281657496,0.06369490495869244,-0.140703582343364,0.3320675244539191,0.019350003036272677,0.018230837376363083,-0.012658782795747987,-0.018201010511124646,-0.12143277410981963,0.07175691333339909,0.01481983666455241,0.07561769695384413,-0.42911022801583515,0.010454560210087038,0.025247390664948695,0.014819836664552485,0.0910877712064884,0.09513858095861322,0.015288578239196323,0.011785788064711067,0.03458490846972509,0.07272465937204038,0.01733531186440207,0.06871962829390715,0.06491086148157943,0.05935108527291052,0.0517856416538806,0.05766724648909242,0.05297523839060525,0.022443260388042858,0.043142527478946854,-0.025982780952570526,0.08748156053243139,0.0023379188370358517,0.03039497751995935,-0.009497931541953861,0.0068075152268949985,0.19281788309645595,-0.005479473589674706,0.022655917514340075,0.02024245725169224,0.0050491308601148775,-0.16947207794949995,0.03362967514818749,0.04226832168438294,0.05809623300789672,0.06568237741866273,0.06903380594909257,-0.029844734730296234,-0.0016666820105545447,-0.005679561926236052,0.06447536845718975,-0.006443367182895753,-0.044219039070661104,0.023851394525730856,0.0845552489446274,0.0808892617619347,0.08099675102936799,0.19903261456381424,0.06474275349267622,0.010327156319179622,-0.0831117749865849,0.461591075030986,-0.03838104908511123,-0.02166248534012473,-0.01340984043793787,-0.5183455184286211,-0.032903100895067074,-0.010109812298471998,-0.00578395584096372,-0.014795373945897843,-0.006693341683286213,-0.12441704955135542,-0.008218086680667258,-0.006085623988557224,-0.005410373798618831,0.5403593664379239,-0.07902246338351011,-0.5764442206833231,-0.0035418648323632743,-0.004089809462096195,-0.027628181244270373,-0.06856917086158797,-0.006458929432424969,0.20265082305735066,0.3742581263521995,-0.0028919090471929967,-0.016978616028861932,-0.06101164424241421,-0.00912916589775203
